,X_1,X_2,X_3,X_4,X_5,alpha
time 1,-0.98,0.78,-0.08,0.63,0.32,1.0
time 2,-0.64,0.28,-0.75,-0.21,0.53,0.33
time 3,-0.28,0.38,-0.4,-0.26,0.9,1.0
time 4,-0.9,-0.51,0.25,-0.69,0.76,0.33
time 5,0.8,-0.07,0.48,-0.12,0.87,1.0
time 6,-0.47,-0.59,0.83,0.39,0.75,0.33
time 7,-0.21,-0.34,0.32,0.0,0.35,0.33
time 8,0.18,-0.43,0.62,-0.12,-0.4,1.0
time 9,-0.08,0.26,-0.26,0.72,0.26,1.0
time 10,-1.0,-0.66,0.48,0.15,-0.99,0.33
time 11,-0.01,0.34,-0.46,0.73,-0.72,1.0
time 12,0.08,-0.37,-0.59,0.81,0.1,0.67
time 13,0.18,0.35,0.12,-0.89,-0.68,0.67
time 14,0.78,0.3,0.85,-0.08,0.02,0.67
time 15,0.66,-0.64,-0.89,-0.95,0.41,0.67
time 16,-0.69,-0.32,-0.64,-0.43,-0.53,0.33
time 17,-0.15,-0.79,-0.87,-0.01,0.34,1.0
time 18,0.19,0.1,0.56,-0.57,0.64,0.67
time 19,-0.77,-0.28,0.38,0.74,0.14,0.33
time 20,0.65,-0.53,0.75,0.85,-0.93,0.67
time 21,0.51,0.49,0.77,-0.86,0.91,0.33
time 22,0.08,-0.53,-0.44,-0.54,-0.42,0.33
time 23,0.54,-0.48,-0.51,0.37,-0.17,1.0
time 24,-0.26,-0.95,-0.33,-0.27,0.92,0.33
time 25,0.56,0.6,-0.52,0.35,-0.47,0.67
time 26,0.04,-0.53,-0.61,0.7,0.18,0.33
time 27,-0.72,-0.49,-0.67,-0.39,0.7,0.67
time 28,-0.58,0.73,0.09,0.91,0.3,0.33
time 29,-0.2,0.97,0.44,-0.54,-0.42,0.33
time 30,0.72,0.34,-0.29,-0.71,-0.43,1.0
time 31,0.88,-0.36,0.6,0.65,0.62,0.67
time 32,0.4,-0.27,-0.56,-0.27,-0.66,0.67
time 33,0.59,-0.76,0.24,0.27,0.18,0.67
time 34,0.18,-0.66,-0.58,0.1,-0.38,0.33
time 35,0.65,0.36,-0.66,0.23,-0.94,0.67
time 36,0.37,-0.24,0.28,-0.52,-0.59,1.0
time 37,0.4,-0.78,0.38,-0.78,-0.38,0.33
time 38,-0.62,-0.9,0.41,-0.66,-0.92,0.33
time 39,-0.57,0.31,-0.95,0.72,-0.98,1.0
time 40,-0.38,0.14,-0.87,-0.57,-0.8,0.67
time 41,0.4,-0.4,0.15,0.31,0.25,0.67
time 42,-0.57,-0.92,0.5,0.86,-0.85,0.33
time 43,0.94,-0.51,0.86,-0.92,0.9,1.0
time 44,0.21,-0.43,0.5,-0.38,0.95,0.33
time 45,0.6,-0.91,-0.58,0.03,-0.37,1.0
time 46,0.77,0.38,-0.74,0.94,0.53,1.0
time 47,0.3,0.26,-0.01,-0.32,0.69,0.67
time 48,0.54,-0.84,-0.08,0.96,-0.64,1.0
time 49,0.58,-0.54,0.91,-0.12,0.24,1.0
